review_id,feature,opinion,sentiment,token,engagement
569,2,review,serious,djKUq4VFYhs,-1,"A very honest review with regards to your personal thoughts and feelings on the product, however I believe you not mentioning that Jake Shake is vegan was a serious determent to the review as it is a very important fact."
569,2,review,honest,djKUq4VFYhs,-1,"A very honest review with regards to your personal thoughts and feelings on the product, however I believe you not mentioning that Jake Shake is vegan was a serious determent to the review as it is a very important fact."
569,2,review,serious,djKUq4VFYhs,-1,"A very honest review with regards to your personal thoughts and feelings on the product, however I believe you not mentioning that Jake Shake is vegan was a serious determent to the review as it is a very important fact."
569,2,diet,not healthy,djKUq4VFYhs,0,You may not be a vegan yourself but some are and are turning to meal replacement shakes like this to compensate for the fact that a vegan diet without vitamin and mineral supplements is not healthy.
569,2,brands,other,djKUq4VFYhs,2,This is brought home even more strongly with your reference to other brands such as Joylent that are not vegan and so not an option for me and other vegans.
569,2,vegan,other,djKUq4VFYhs,2,This is brought home even more strongly with your reference to other brands such as Joylent that are not vegan and so not an option for me and other vegans.
569,2,vegans,other,djKUq4VFYhs,2,This is brought home even more strongly with your reference to other brands such as Joylent that are not vegan and so not an option for me and other vegans.
570,0,shipping,+,djKUq4VFYhs,0,Jake original: 64.00+free shipping for 20 meals / 3.20 per meal.
570,0,shipping,free,djKUq4VFYhs,0,Jake original: 64.00+free shipping for 20 meals / 3.20 per meal.
570,0,meals,free,djKUq4VFYhs,0,Jake original: 64.00+free shipping for 20 meals / 3.20 per meal.
570,0,meals,+,djKUq4VFYhs,0,Jake original: 64.00+free shipping for 20 meals / 3.20 per meal.
570,0,meal,free,djKUq4VFYhs,0,Jake original: 64.00+free shipping for 20 meals / 3.20 per meal.
570,0,meal,+,djKUq4VFYhs,0,Jake original: 64.00+free shipping for 20 meals / 3.20 per meal.
570,0,shipping,+,djKUq4VFYhs,0,Jake light: 59.00+free shipping for 20 meal / 2.95 per meal.
570,0,shipping,free,djKUq4VFYhs,0,Jake light: 59.00+free shipping for 20 meal / 2.95 per meal.
570,0,meal,free,djKUq4VFYhs,0,Jake light: 59.00+free shipping for 20 meal / 2.95 per meal.
570,0,meal,+,djKUq4VFYhs,0,Jake light: 59.00+free shipping for 20 meal / 2.95 per meal.
570,0,meal,free,djKUq4VFYhs,0,Jake light: 59.00+free shipping for 20 meal / 2.95 per meal.
570,0,meal,+,djKUq4VFYhs,0,Jake light: 59.00+free shipping for 20 meal / 2.95 per meal.
570,0,trier,looking,djKUq4VFYhs,-1,"I'm looking to try one of these shakes, but when is someone going to use something instead of the artificial sweetener sucralose (E955) in these powders?"
570,0,powders,artificial,djKUq4VFYhs,-1,"I'm looking to try one of these shakes, but when is someone going to use something instead of the artificial sweetener sucralose (E955) in these powders?"
570,0,sweetener,own,djKUq4VFYhs,0,I would prefer to add my own choice of sweetener afterwards (if at all).
570,0,sweetener,artificial,djKUq4VFYhs,0,"Looking on the ingredients Jake has dextrose (D-Glucose) in it already, so why add an artificial sweetener too?"
570,0,tastes,personal,djKUq4VFYhs,0,They should include a sachet of sweetener if they must include it then the customer could adjust to their own personal tastes and preferences.
570,0,tastes,own,djKUq4VFYhs,0,They should include a sachet of sweetener if they must include it then the customer could adjust to their own personal tastes and preferences.
571,1,review,Nice,djKUq4VFYhs,1,"Nice review, thanks Terry!"
571,1,bags,nice,djKUq4VFYhs,1,They also have these nice bags nowadays.
623,0,milk,almond,YZt8GmVfAnI,0,Have you tried drinking it with vanilla almond milk?
627,0,effects,bad,YZt8GmVfAnI,0,Hey I am considering using this product and I wanted to ask someone who is not associated with the women's best company.... Did you eerience any bad side effects at all?
631,1,problems,similar,EyOwM_liwk8,-1,We have very similar problems with our diet.
631,1,diet,similar,EyOwM_liwk8,-1,We have very similar problems with our diet.
631,1,feeling,good,EyOwM_liwk8,0,When I got tired of doing that I just made two in the blender and I drink one and then I save the other one for lunch put it in my lunchbox on ice.that feeling of being hungry is a good feeling if you want to lose weight you'll have to get used to it.
631,1,feeling,ice.that,EyOwM_liwk8,0,When I got tired of doing that I just made two in the blender and I drink one and then I save the other one for lunch put it in my lunchbox on ice.that feeling of being hungry is a good feeling if you want to lose weight you'll have to get used to it.
631,1,feeling,good,EyOwM_liwk8,0,When I got tired of doing that I just made two in the blender and I drink one and then I save the other one for lunch put it in my lunchbox on ice.that feeling of being hungry is a good feeling if you want to lose weight you'll have to get used to it.
631,1,feeling,ice.that,EyOwM_liwk8,0,When I got tired of doing that I just made two in the blender and I drink one and then I save the other one for lunch put it in my lunchbox on ice.that feeling of being hungry is a good feeling if you want to lose weight you'll have to get used to it.
631,1,thing,good,EyOwM_liwk8,1,"The good thing about Lean one is that the calories it gives you are good, easily burnable calories."
631,1,supplement,best,EyOwM_liwk8,1,This is by far the best meal supplement I have ever eerienced
633,4,results,opposite,EyOwM_liwk8,1,I liked your review but its so weird because I had the complete opposite results lol.
633,4,results,complete,EyOwM_liwk8,1,I liked your review but its so weird because I had the complete opposite results lol.
633,4,taste,fine,EyOwM_liwk8,1,It curved my appetite and it tastes just fine.
635,2,water,warm-hot,EyOwM_liwk8,1,Hey just saying try it with warm-hot water it desolves better might even work better just saying
642,0,feel,full,L2SiUsA6SxM,0,"It's protein it will naturally make you feel full, protein has that effect."
642,0,weight,looking,L2SiUsA6SxM,1,"If you're looking to loose weight it's best to watch your overall diet, have a well balanced diet."
642,0,diet,overall,L2SiUsA6SxM,1,"If you're looking to loose weight it's best to watch your overall diet, have a well balanced diet."
642,0,diet,balanced,L2SiUsA6SxM,1,"If you're looking to loose weight it's best to watch your overall diet, have a well balanced diet."
642,0,diet,overall,L2SiUsA6SxM,1,"If you're looking to loose weight it's best to watch your overall diet, have a well balanced diet."
642,0,diet,balanced,L2SiUsA6SxM,1,"If you're looking to loose weight it's best to watch your overall diet, have a well balanced diet."
642,0,health,great,L2SiUsA6SxM,3,Track your macros using an app called MyFitnessPal and track your meals on that what eat a day and do some walking or some exercise will have a great positive changes to your health.
642,0,health,positive,L2SiUsA6SxM,3,Track your macros using an app called MyFitnessPal and track your meals on that what eat a day and do some walking or some exercise will have a great positive changes to your health.
644,0,review,Great,L2SiUsA6SxM,0,"Hey Great review, I have just started my weight loss journey as well!!"
651,0,milk,almond,L2SiUsA6SxM,-1,I prob never would have heard of this this had you not reviewed it so tfs Two things I wanted to know; you mentioned almond milk...is that another choice to mix the shake w instead or water?
651,0,reviews,great,L2SiUsA6SxM,2,The reviews online about this are great
652,0,taste,great,L2SiUsA6SxM,-1,"Don't ever listen to the hate comments, You're beautiful and have great taste."
678,0,product,Great,ywn7OhW4ItY,2,Great product.
678,0,feel,not hungry,ywn7OhW4ItY,-1,So i never feel hungry after.
679,0,food,whole,ywn7OhW4ItY,0,you can however I recommend whole food for the other 2 main meals.
679,0,meals,whole,ywn7OhW4ItY,0,you can however I recommend whole food for the other 2 main meals.
679,0,meals,main,ywn7OhW4ItY,0,you can however I recommend whole food for the other 2 main meals.
679,0,meals,other,ywn7OhW4ItY,0,you can however I recommend whole food for the other 2 main meals.
705,0,luck,Good,IxeupfBApM8,2,Good luck.
706,0,fruits,real,IxeupfBApM8,0,We need more real fruits and veggie videos.
706,0,fruits,more,IxeupfBApM8,0,We need more real fruits and veggie videos.
708,0,luck,good,IxeupfBApM8,2,Oh and good luck on ur job!
710,0,folks,different,IxeupfBApM8,0,"Don't worry if folks put some stuff down, different strokes for different folks!"
710,0,folks,different,IxeupfBApM8,0,"Don't worry if folks put some stuff down, different strokes for different folks!"
713,0,symptoms,hard,IxeupfBApM8,-1,The detox symptoms were just too hard to cope with alone and if you dont understand that that is why you feel like crap and emotional and sluggish a burrito dont sound too bad.
713,0,thing,same,IxeupfBApM8,0,My symptoms put me in the hosp for five days but i knew why a was there and i did the same thing to keep from being so sick.
713,0,diet,raw,IxeupfBApM8,0,I sabotged my raw diet.
713,0,water,cold,IxeupfBApM8,0,I prefer to inch my way into cold water ...
715,0,review,quick,IxeupfBApM8,0,"I had it laying around so I thought I would do a quick review on it, especially since I reviewed Vega a couple weeks ago."
715,0,reviewed,quick,IxeupfBApM8,0,"I had it laying around so I thought I would do a quick review on it, especially since I reviewed Vega a couple weeks ago."
715,0,products,good,IxeupfBApM8,1,Both Vega / Vega Sport and Plant Fusion / Phood are good products.
715,0,ingredients,toxic,IxeupfBApM8,2,They help support the vegan lifestyle and are a great high quality plant based alternative to dairy based powders with toxic ingredients.
716,0,food,wrong,IxeupfBApM8,0,Matt why would u review some processed food this is nonsence what's wrong with fresh food in its natural state ie rice potatoes fruit veg etc this would be good if you were living on a space ship why do you not know this iam v surprised if don't
716,0,food,wrong,IxeupfBApM8,0,Matt why would u review some processed food this is nonsence what's wrong with fresh food in its natural state ie rice potatoes fruit veg etc this would be good if you were living on a space ship why do you not know this iam v surprised if don't
716,0,etc,fresh,IxeupfBApM8,0,Matt why would u review some processed food this is nonsence what's wrong with fresh food in its natural state ie rice potatoes fruit veg etc this would be good if you were living on a space ship why do you not know this iam v surprised if don't
716,0,etc,natural,IxeupfBApM8,0,Matt why would u review some processed food this is nonsence what's wrong with fresh food in its natural state ie rice potatoes fruit veg etc this would be good if you were living on a space ship why do you not know this iam v surprised if don't
719,0,food,whole,IxeupfBApM8,0,Can't be a whole food if it's a powder!
725,0,bottle,first,FD_pruIf3FA,0,I just got my first bottle of Vega One from Nu3 in Germany.
725,0,protein,diggest,FD_pruIf3FA,0,"Do you happen to know which plant based protein diggest slowly, (because I want to avoid Casein)?"
726,0,food,whole,FD_pruIf3FA,0,My idea is for her to keep eating the regular 4 (whole food)meals and throw this in twice a day too.
726,0,meal,real,FD_pruIf3FA,0,Or will it supress her hunger and she won't be able to eat a real meal
728,0,foods,raw,FD_pruIf3FA,0,"Lana, you say if you want raw foods, eat raw meal."
728,0,meal,raw,FD_pruIf3FA,0,"Lana, you say if you want raw foods, eat raw meal."
728,0,product,numerous,FD_pruIf3FA,0,But does their extraction process heat up ANY of the numerous ingedients in their product?
729,4,review,Good,FD_pruIf3FA,1,Good review !
729,4,meal,free,FD_pruIf3FA,2,I just bought the new raw meal and its soy free and new and improved !
729,4,meal,new,FD_pruIf3FA,2,I just bought the new raw meal and its soy free and new and improved !
729,4,drink,used,FD_pruIf3FA,-3,I used to drink vega but a few years ago they had s contamination issue and my friend got horrible poisoning from vega one .
729,4,ingredients,main,FD_pruIf3FA,0,"I know garden of life had probers with high arsenic levels in previous formulas but I heard from many sources they got new supplier for one of the main ingredients , brown rice protein!"
729,4,protein,brown,FD_pruIf3FA,0,"I know garden of life had probers with high arsenic levels in previous formulas but I heard from many sources they got new supplier for one of the main ingredients , brown rice protein!"
735,1,try,fair,FD_pruIf3FA,0,"I started with Vega One, saw it at Whole Foods and deciced to give it a fair try."
736,0,calories,higher,FD_pruIf3FA,0,"What do you think about Vega One know that they have changed their ingredients, and is also higher in calories per serving?"
737,0,meal,free,FD_pruIf3FA,0,raw meal is soy free
739,2,supplement,close,FD_pruIf3FA,0,"I can tolerate taste, it's just important to me that my meal replacement supplement is as close to the natural state of food as possible, and the only company that does that right now is GOL (although there's a higher ratio of sprouts to greens with their meal replacement)."
739,2,food,possible,FD_pruIf3FA,0,"I can tolerate taste, it's just important to me that my meal replacement supplement is as close to the natural state of food as possible, and the only company that does that right now is GOL (although there's a higher ratio of sprouts to greens with their meal replacement)."
739,2,food,natural,FD_pruIf3FA,0,"I can tolerate taste, it's just important to me that my meal replacement supplement is as close to the natural state of food as possible, and the only company that does that right now is GOL (although there's a higher ratio of sprouts to greens with their meal replacement)."
739,2,vegan,only,FD_pruIf3FA,-1,Take it from a 26-year-old male who gets mistaken for an 18-year-old - these replacement meals (only vegan and whole food based) will provide you with the highest amounts of antioxidants.
739,2,food,whole,FD_pruIf3FA,-1,Take it from a 26-year-old male who gets mistaken for an 18-year-old - these replacement meals (only vegan and whole food based) will provide you with the highest amounts of antioxidants.
739,2,amounts,highest,FD_pruIf3FA,-1,Take it from a 26-year-old male who gets mistaken for an 18-year-old - these replacement meals (only vegan and whole food based) will provide you with the highest amounts of antioxidants.
740,4,meal,raw,FD_pruIf3FA,-2,"I use raw meal, it is NASTY As fuck, but but but, if you mix it with water u can take it down in 3 big chunks so just man up and do it!"
741,4,review,much,FD_pruIf3FA,1,Thank you very much for your review.
741,4,people,Most,FD_pruIf3FA,0,Most people spend multiple hundreds per month either shopping at grocery stores or eating out at restaurants!
751,0,sensitivity,high,t8NCigh54jg,1,"Due to a high sensitivity to ""soy"" foods like this and tofu are not an option to me, in all honesty this guy very much seems like a reflection of his product, bland, austere, etc People who live active lifestyles and very physically demading jobs cant even live off of vegan diets let alone a ""liquid based"" diet."
751,0,foods,high,t8NCigh54jg,1,"Due to a high sensitivity to ""soy"" foods like this and tofu are not an option to me, in all honesty this guy very much seems like a reflection of his product, bland, austere, etc People who live active lifestyles and very physically demading jobs cant even live off of vegan diets let alone a ""liquid based"" diet."
751,0,product,austere,t8NCigh54jg,1,"Due to a high sensitivity to ""soy"" foods like this and tofu are not an option to me, in all honesty this guy very much seems like a reflection of his product, bland, austere, etc People who live active lifestyles and very physically demading jobs cant even live off of vegan diets let alone a ""liquid based"" diet."
753,0,life,better,t8NCigh54jg,-2,Rob needs to take his antisocial asshole find a girlfriend and hopefully make a better life than being a lab rat producing meal replacement in a rat infested factory.
759,0,food,good,t8NCigh54jg,1,this can be good for military food.
764,0,appetite,hard,yvT_M68a6og,-3,its horrible and its really hard to get my appetite back again.
764,0,feel,nervous,yvT_M68a6og,-2,"so if i have a busy day and i know i might feel nervous and worst case would get anxiety attacks, instead of having to sit down and try to eat a meal bite by bite which feels like slow torture id be able to just chug a bottle of this and go on with my day."
764,0,case,worst,yvT_M68a6og,-2,"so if i have a busy day and i know i might feel nervous and worst case would get anxiety attacks, instead of having to sit down and try to eat a meal bite by bite which feels like slow torture id be able to just chug a bottle of this and go on with my day."
764,0,feel,nervous,yvT_M68a6og,-2,"so if i have a busy day and i know i might feel nervous and worst case would get anxiety attacks, instead of having to sit down and try to eat a meal bite by bite which feels like slow torture id be able to just chug a bottle of this and go on with my day."
765,0,offer,able,yvT_M68a6og,0,How are you able to offer a discounted price if you are not sponsored or affiliated with the Soylent company?
766,0,diet,nice,yvT_M68a6og,1,Hopefully they will be nice and accommodating of your vegan diet.
768,1,powders,different,yvT_M68a6og,2,They make different flavouring powders that you can add to it that are really good.
786,2,diet,normal,A155Ir-afL0,-2,"by changing your body's ""normal"" diet, you're causing a system shock by altering your body's pH levels and throwing out the balance."
787,0,love,happy,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,my,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,much,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,hard,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,happy,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,my,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,much,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,hard,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,happy,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,my,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,much,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,hard,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,happy,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,my,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,much,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,hard,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,happy,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,my,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,much,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,hard,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,happy,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,my,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,much,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
787,0,love,hard,7fU87vCCylo,2,I don't have many friends who are you still have the same time as you are a hottie and a friend of mine and you are a hottie of a girl who is a girl and a girl who wants to be my friend to me you love me so so hard and my friend and my brother are my best friends so much love me so so happy you have my friend you deserve my best and happy you love me you are a god my best brother and my brother and you my brother and my brother love you so much your my brother and my brother love you so much your my brother love
796,0,milk,strawberry,7fU87vCCylo,0,"Of I had to do that, at the end I would've eaten a feast of ice cream sandwiches, meat pies, strawberry milk, and astronaut ice cream."
807,0,milk,tolerable,ZDfVUCVboZ8,0,It was tolerable with milk and nesquik.
818,0,protein,50g,ZDfVUCVboZ8,0,Mutant Mass 1060 calories per serving (inc 50g protein) 2.5 servings to reach daily calorie intake $6 a day taste - not absolutely unbearable
847,0,work,better,GvSm4akJMUE,0,Don't roll the lime between your hands; bash it on the counter a few times... it works better!
850,0,life,late,GvSm4akJMUE,0,But it was late in her life compared to normal children.
1002,0,calories,many,WkmyWenzcG8,0,How many calories and grams of protein in each bar?
1005,0,kind,Very,WkmyWenzcG8,2,Very kind of you.
1005,0,protein,high,WkmyWenzcG8,-1,"Hopefully they will be a high protein, low carb energy bar I can eat every couple of hrs or so, that will keep me from munching junk during the day."
1005,0,bar,low,WkmyWenzcG8,-1,"Hopefully they will be a high protein, low carb energy bar I can eat every couple of hrs or so, that will keep me from munching junk during the day."
1015,0,sweeteners,not artificial,WkmyWenzcG8,0,"I would prefer not to use artificial sweeteners - do you think I can just use water in place of the pancake syrup, or is the syrup necessary for texture?"
1015,0,texture,necessary,WkmyWenzcG8,0,"I would prefer not to use artificial sweeteners - do you think I can just use water in place of the pancake syrup, or is the syrup necessary for texture?"
1021,0,diet,best,WkmyWenzcG8,1,It's the best diet out there.
1030,0,bar,45g,rtUBcCx-i2c,0,"It is a 45g bar with 180 cals, 6g fat (2.5 sat), no trans fats or hydrogenation, 5g fiber, and LOADS of vitamins: 20% for each of C, E, B6, B12, Folate, Niacin, Thiamin and Calcium; 15% for each of A, Iron and Zinc, and 4% vitamin D. It's very filling, very tasty, and way better than any other I've tried."
1030,0,fat,trans,rtUBcCx-i2c,0,"It is a 45g bar with 180 cals, 6g fat (2.5 sat), no trans fats or hydrogenation, 5g fiber, and LOADS of vitamins: 20% for each of C, E, B6, B12, Folate, Niacin, Thiamin and Calcium; 15% for each of A, Iron and Zinc, and 4% vitamin D. It's very filling, very tasty, and way better than any other I've tried."
1030,0,fat,6g,rtUBcCx-i2c,0,"It is a 45g bar with 180 cals, 6g fat (2.5 sat), no trans fats or hydrogenation, 5g fiber, and LOADS of vitamins: 20% for each of C, E, B6, B12, Folate, Niacin, Thiamin and Calcium; 15% for each of A, Iron and Zinc, and 4% vitamin D. It's very filling, very tasty, and way better than any other I've tried."
1030,0,fats,trans,rtUBcCx-i2c,0,"It is a 45g bar with 180 cals, 6g fat (2.5 sat), no trans fats or hydrogenation, 5g fiber, and LOADS of vitamins: 20% for each of C, E, B6, B12, Folate, Niacin, Thiamin and Calcium; 15% for each of A, Iron and Zinc, and 4% vitamin D. It's very filling, very tasty, and way better than any other I've tried."
1030,0,fats,6g,rtUBcCx-i2c,0,"It is a 45g bar with 180 cals, 6g fat (2.5 sat), no trans fats or hydrogenation, 5g fiber, and LOADS of vitamins: 20% for each of C, E, B6, B12, Folate, Niacin, Thiamin and Calcium; 15% for each of A, Iron and Zinc, and 4% vitamin D. It's very filling, very tasty, and way better than any other I've tried."
1033,0,bars,@supersamee,rtUBcCx-i2c,1,@supersamee the blak guy cliffy bars....lol
1033,0,bars,cliffy,rtUBcCx-i2c,1,@supersamee the blak guy cliffy bars....lol
1038,0,air,very,rtUBcCx-i2c,1,It's like she's choking on the very air she's breathing.
1040,0,quality,overlooked,rtUBcCx-i2c,0,"another important yet overlooked quality of these and other bars is SUGAR CONTENT.....most of these bars are overloaded with sugar in the name of health...and most aren't even worth buying...you're better off creating homemade bars with protein powder, but that is eensive, too...which sux...."
1040,0,quality,important,rtUBcCx-i2c,0,"another important yet overlooked quality of these and other bars is SUGAR CONTENT.....most of these bars are overloaded with sugar in the name of health...and most aren't even worth buying...you're better off creating homemade bars with protein powder, but that is eensive, too...which sux...."
1040,0,bars,most,rtUBcCx-i2c,0,"another important yet overlooked quality of these and other bars is SUGAR CONTENT.....most of these bars are overloaded with sugar in the name of health...and most aren't even worth buying...you're better off creating homemade bars with protein powder, but that is eensive, too...which sux...."
1040,0,bars,most,rtUBcCx-i2c,0,"another important yet overlooked quality of these and other bars is SUGAR CONTENT.....most of these bars are overloaded with sugar in the name of health...and most aren't even worth buying...you're better off creating homemade bars with protein powder, but that is eensive, too...which sux...."
1040,0,bars,most,rtUBcCx-i2c,0,"another important yet overlooked quality of these and other bars is SUGAR CONTENT.....most of these bars are overloaded with sugar in the name of health...and most aren't even worth buying...you're better off creating homemade bars with protein powder, but that is eensive, too...which sux...."
1041,0,brand,entire,rtUBcCx-i2c,0,"It's unfair to judge an entire brand, also, based on one flavor."
1041,0,purchase,not wimpy,rtUBcCx-i2c,-1,There are plenty of flavors of Balance or Zone Perfect that I don't buy because the fiber content is wimpy or too much fat.
1041,0,purchase,fat,rtUBcCx-i2c,-1,There are plenty of flavors of Balance or Zone Perfect that I don't buy because the fiber content is wimpy or too much fat.
1041,0,content,fat,rtUBcCx-i2c,-1,There are plenty of flavors of Balance or Zone Perfect that I don't buy because the fiber content is wimpy or too much fat.
1041,0,content,wimpy,rtUBcCx-i2c,-1,There are plenty of flavors of Balance or Zone Perfect that I don't buy because the fiber content is wimpy or too much fat.
1043,0,bars,worst,rtUBcCx-i2c,-1,"hehe I just realized the top 4 worst bars are what my family are using to try to lose weight, it isn't working."
